OrderID,OrderDate,CustomerName,Category,Product,Region,City,Quantity,UnitPrice,DiscountPct,Revenue,PaymentMethod,SalesRep
ORD1384,02/27/2024,Diya Pillai,SPORTS,Yoga Mat,South,Bengaluru,10,4154.06,0,41540.6,  Cash on Delivery  ,S. Iyer
ORD1776,07/13/2024,Meera Malhotra,Sports,Cycling Helmet,  West  ,Ahmedabad,2,8430.87,0.25,12646.31,  Debit Card  ,S. Iyer
ORD1792,30/12/2025,Neha Malhotra,  Books  ,Children's Storybook,NORTH,Chandigarh,2,18396.8,0.1,33114.24,cash on delivery,P. Nair
ORD1132,09/06/2025,Sai Kapoor,  Electronics  ,Webcam,  East  ,Patna,2,7233.82,0,14467.64,upi,T. Joshi
ORD1465,08/18/2024,Sneha Mehta,  Home & Kitchen  ,Bed Sheet Set,East,Kolkata,1,15700.94,0.2,12560.75,CREDIT CARD,K. Singh
ORD1589,2024-06-07,Ravi Rao,ELECTRONICS,Laptop Stand,EAST,Bhubaneswar,6,23034.55,0,138207.3,credit card,P. Nair
ORD1954,08/03/2025,Diya Rao,Home & Kitchen,Blender,  South  ,Chennai,9,5108.15,0.1,41376.01,credit card,K. Singh
ORD1838,2024-07-12,,apparel,Winter Jacket,EAST,Kolkata,7,5080.55,0,35563.85,CASH ON DELIVERY,S. Iyer
ORD1457,14/07/2024,Karan Gupta,ELECTRONICS,Smartwatch,WEST,Pune,2,16842.93,0.2,26948.69,UPI,M. Reddy
ORD1025,09/28/2025,Priya Iyer,apparel,Formal Shirt,  South  ,Chennai,5,11512.03,0,57560.15,CREDIT CARD,T. Joshi
ORD1004,10/05/2025,Reyansh Verma,electronics,Noise Cancelling Headphones,  East  ,Patna,8,,0.2,86241.73,Credit Card,K. Singh
ORD1422,2025-06-20,Rohan Iyer,SPORTS,Badminton Racket,east,Patna,9,4549.36,0.25,30708.18,Cash on Delivery,N. Gupta
ORD1992,2024-01-29,Vihaan Sharma,  Electronics  ,Smartwatch,north,Lucknow,10,18898.78,0.15,160639.63,upi,P. Nair
ORD1260,01/13/2024,Sai Bose,ELECTRONICS,USB-C Hub,North,Chandigarh,10,15279.49,0.1,137515.41,Debit Card,R. Verma
ORD1428,09/07/2024,Meera Malhotra,Electronics,Webcam,west,Pune,4,8118.0,0,32472,credit card,A. Sharma
ORD1817,19-Nov-2024,Isha Das,  Apparel  ,Women's Jeans,east,Patna,10,16484.35,0,164843.5,net banking,S. Iyer
ORD1259,2024-09-01,Isha Iyer,Electronics,Smartwatch,North,Lucknow,9,8269.74,0,74427.66,upi,N. Gupta
ORD1434,18/08/2025,Ananya Mehta,books,Biography,east,Kolkata,10,3123.29,0.05,29671.26,credit card,A. Sharma
ORD1272,22-Apr-2025,Isha Iyer,sports,Cycling Helmet,south,Bengaluru,10,2857.97,0,28579.7,Debit Card,T. Joshi
ORD1237,07/18/2024,Rohan Menon,home & kitchen,Blender,  South  ,Chennai,1,21658.23,0,21658.23,  Net Banking  ,S. Iyer
ORD1947,26-Aug-2025,Pooja Bose,apparel,Yoga Pants,north,Chandigarh,9,4497.56,0.15,34406.33,  UPI  ,N. Gupta
ORD1075,2025-12-16,Ravi Bose,electronics,USB-C Hub,EAST,Patna,1,5208.42,0,5208.42,UPI,T. Joshi
ORD1087,12/19/2024,,sports,Cycling Helmet,west,Pune,5,16988.63,0,84943.15,Credit Card,T. Joshi
ORD1836,2025-11-25,Sai Sharma,Beauty,Face Wash,south,Bengaluru,3,,0,12045.66,DEBIT CARD,A. Sharma
ORD1023,2025-09-01,Sneha Singh,electronics,Wireless Mouse,West,Ahmedabad,1,24025.36,0,24025.36,debit card,R. Verma
ORD1719,24-Sep-2025,Vivaan Bhatt,beauty,Face Wash,NORTH,Delhi,1,7478.68,0.2,5982.94,  Net Banking  ,R. Verma
ORD1296,28/10/2024,Pooja Malhotra,electronics,Wireless Mouse,WEST,Ahmedabad,3,1504.45,0,4513.35,net banking,R. Verma
ORD1813,2024-05-23,Aarav Joshi,Beauty,Lipstick,west,Ahmedabad,5,1297.23,0.1,5837.53,cash on delivery,T. Joshi
ORD1153,05/12/2024,Aditya Bose,BEAUTY,Shampoo,SOUTH,Chennai,8,17050.71,0.15,115944.83,Debit Card,S. Iyer
ORD1537,17/02/2025,,  Sports  ,Cycling Helmet,South,Hyderabad,10,242.04,0.25,1815.3,,N. Gupta
ORD1438,11/03/2024,Ananya Bhatt,  Books  ,Biography,South,Hyderabad,6,8193.47,0.25,36870.61,UPI,S. Iyer
ORD1998,01/11/2025,Diya Joshi,Home & Kitchen,LED Desk Lamp,EAST,Bhubaneswar,3,3800.51,0,11401.53,DEBIT CARD,R. Verma
ORD1777,11-Nov-2024,Priya Rao,electronics,Wireless Mouse,East,Bhubaneswar,7,24266.74,0.15,144387.1,net banking,T. Joshi
ORD1309,03/02/2024,Karan Sharma,HOME & KITCHEN,Air Fryer,south,Hyderabad,3,4940.17,0.05,14079.48,Credit Card,P. Nair
ORD1369,14-Aug-2024,Isha Das,beauty,Face Wash,  North  ,Chandigarh,4,10404.46,0,41617.84,Debit Card,S. Iyer
